Neutron Energy [eV],Flux [#-cm/sp]
,
500,1.75E-05
510.345609,1.89E-05
520.9052812,1.64E-05
531.6834459,1.18E-05
542.6846239,3.62E-06
553.9134298,2.12E-05
565.3745733,5.14E-05
577.0728618,1.12E-05
589.0132021,2.64E-05
601.2006027,9.03E-06
613.6401753,2.08E-05
626.337138,1.45E-05
639.2968162,8.65E-06
652.5246459,5.64E-06
666.0261756,1.53E-05
679.8070683,1.31E-05
693.8731045,2.86E-05
708.2301842,7.33E-06
722.8843293,8.17E-06
737.8416865,5.02E-06
753.1085296,7.57E-06
768.6912623,1.92E-05
784.5964208,7.19E-06
800.8306763,4.63E-06
817.4008383,4.92E-06
834.3138572,6.98E-06
851.5768271,1.83E-05
869.1969888,1.57E-05
887.1817331,4.96E-06
905.5386037,1.74E-05
924.2753003,5.68E-05
943.399682,1.11E-06
962.9197704,1.42E-05
982.8437532,1.65E-05
1003.179988,2.31E-05
1023.937003,8.21E-05
1045.123507,8.20E-05
1066.748385,3.03E-05
1088.820709,9.20E-06
1111.349735,2.40E-05
1134.344915,5.24E-05
1157.815893,3.56E-05
1181.772514,2.64E-05
1206.224826,4.92E-05
1231.183087,5.40E-05
1256.657765,1.42E-05
1282.659544,5.18E-05
1309.199332,5.86E-05
1336.288261,8.23E-05
1363.937693,6.27E-05
1392.159225,1.18E-05
1420.964695,1.63E-05
1450.366185,3.09E-05
1480.376028,5.47E-05
1511.006811,1.96E-05
1542.271382,3.53E-05
1574.182855,3.54E-05
1606.754616,5.65E-05
1640.000326,8.93E-05
1673.93393,6.23E-05
1708.569662,9.10E-05
1743.922049,6.24E-05
1780.00592,3.22E-05
1816.83641,0.000106901
1854.428969,0.000118516
1892.799363,0.000128894
1931.963687,0.000147871
1971.938368,0.000206212
2012.740175,8.82E-05
2054.38622,6.79E-05
2096.893973,6.96E-05
2140.281264,8.47E-05
2184.56629,0.000123331
2229.767627,0.000106416
2275.904235,0.000108437
2322.995465,9.69E-05
2371.061071,0.000157807
2420.121212,0.000145629
2470.196468,0.000194833
2521.307841,0.000177195
2573.476771,0.000117262
2626.72514,9.04E-05
2681.075282,0.000154471
2736.549995,0.000243708
2793.172547,0.00027087
2850.966689,0.000321309
2909.956663,0.000341733
2970.16721,0.000293552
3031.623587,8.72E-05
3094.351571,0.000331201
3158.377474,0.000178465
3223.728151,0.000268431
3290.431013,0.000344551
3358.514038,0.000460722
3428.005784,0.000159944
3498.935398,0.000310464
3571.332633,0.000326688
3645.227855,0.000516115
3720.652059,0.000392442
3797.636882,0.000209659
3876.214614,0.00033362
3956.418215,0.000408707
4038.281327,0.000457577
4121.838286,0.000470173
4207.12414,0.000455374
4294.174663,0.000467617
4383.026367,0.00043797
4473.71652,0.000463356
4566.283164,0.000494133
4660.765124,0.000595279
4757.202031,0.00045713
4855.634335,0.000606871
4956.103323,0.000602501
5058.651137,0.000710553
5163.32079,0.00058197
5270.156186,0.000647104
5379.202136,0.000610136
5490.50438,0.000781134
5604.109603,0.000761668
5720.065456,0.000703929
5838.420577,0.000839998
5959.224609,0.00091235
6082.528225,0.000879321
6208.383142,0.000979389
6336.84215,0.000960455
6467.959132,0.000867633
6601.789084,0.001049713
6738.388141,0.000937488
6877.813599,0.001165005
7020.123939,0.001209888
7165.378853,0.001111414
7313.639268,0.001550892
7464.967373,0.001028319
